# Last Sanctuary 스트링 테이블 — Tools/gen_string_table.py 가 생성한다. 직접 고치지 말 것.
# 원본: 데이터 테이블/스트링 키 테이블.xlsx
string_key	kr	en	es	fr	de	ja	ru	pt	pl
mental_error_name_40002	진정	Calm	Calma	Apaisement	Ruhe	鎮静	Успокоение	Calma	Ukojenie
mental_error_name_40003	각성	Arousal	Excitación	Éveil	Erregung	覚醒	Возбуждение	Excitação	Pobudzenie
mental_error_name_40004	공포	Fear	Miedo	Peur	Furcht	恐怖	Страх	Medo	Strach
mental_error_name_40005	우울	Depression	Depresión	Dépression	Niedergeschlagenheit	憂鬱	Уныние	Depressão	Przygnębienie
mental_error_name_40006	광분	Frenzy	Furia	Furie	Raserei	狂奔	Бешенство	Fúria	Szał
mental_error_name_40007	고조	Upsurge	Auge	Exaltation	Aufwallung	高揚	Подъём	Ápice	Wzniesienie
mental_error_name_40008	자해	Self-Harm	Autolesión	Automutilation	Selbstverletzung	自傷	Самоповреждение	Automutilação	Samookaleczenie
mental_error_name_40009	피학	Masochism	Masoquismo	Masochisme	Masochismus	被虐	Мазохизм	Masoquismo	Masochizm
mental_error_name_40010	이기심	Selfishness	Egoísmo	Égoïsme	Selbstsucht	利己心	Себялюбие	Egoísmo	Egoizm
mental_error_name_40011	역겨움	Disgust	Repulsión	Dégoût	Abscheu	嫌悪	Отвращение	Repulsa	Odraza
mental_error_type_desc_Arousal	해당 캐릭터의 모든 능력치가 {value_01}% 만큼 상승	All of the target character's stats increase by {value_01}%.	Todas las características del personaje afectado aumentan un {value_01}%.	Toutes les caractéristiques du personnage concerné augmentent de {value_01}%.	Alle Werte der betroffenen Figur steigen um {value_01}%.	該当キャラクターのすべての能力値が {value_01}% 上昇します。	Все характеристики этого персонажа возрастают на {value_01}%.	Todos os atributos do personagem afetado aumentam {value_01}%.	Wszystkie atrybuty danej postaci rosną o {value_01}%.
mental_error_type_desc_Confusion	해당 캐릭터가 아군을 공격	The target character attacks allies.	El personaje afectado ataca a sus aliados.	Le personnage concerné attaque ses alliés.	Die betroffene Figur greift Verbündete an.	該当キャラクターが味方を攻撃します。	Этот персонаж атакует союзников.	O personagem afetado ataca os aliados.	Dana postać atakuje sojuszników.
mental_error_type_desc_Depression	해당 캐릭터의 반경{value_01}에 존재하는 아군의 침식 수치가 {value_02}만큼 상승(본인 제외)	Allies within a radius of {value_01} of the target character have their Corruption Level increase by {value_02} (excluding self).	Los aliados en un radio de {value_01} del personaje afectado ven su nivel de Corrupción aumentar en {value_02} (excepto él mismo).	Les alliés dans un rayon de {value_01} du personnage concerné voient leur niveau de Corruption augmenter de {value_02} (lui-même excepté).	Verbündete im Umkreis von {value_01} um die betroffene Figur erleiden einen Anstieg der Verderbnis um {value_02} (sie selbst ausgenommen).	該当キャラクターの半径 {value_01} にいる味方の浸食値が {value_02} 上昇します（本人を除く）。	У союзников в радиусе {value_01} от этого персонажа уровень Порчи возрастает на {value_02} (кроме него самого).	Aliados num raio de {value_01} do personagem afetado têm o nível de Corrupção aumentado em {value_02} (exceto ele mesmo).	Sojusznicy w promieniu {value_01} od danej postaci mają poziom Skażenia wyższy o {value_02} (poza nią samą).
mental_error_type_desc_Disgusting	해당 캐릭터의 반경{value_01}에 존재하는 아군의 현재체력이 초당 최대체력의{value_02}% 만큼 감소	Allies within a radius of {value_01} of the target character have their current HP decrease by {value_02}% of max HP per second.	Los aliados en un radio de {value_01} del personaje afectado pierden por segundo un {value_02}% de su salud máxima.	Les alliés dans un rayon de {value_01} du personnage concerné perdent chaque seconde {value_02}% de leur santé maximale.	Verbündete im Umkreis von {value_01} um die betroffene Figur verlieren pro Sekunde {value_02}% ihres maximalen Lebens.	該当キャラクターの半径 {value_01} にいる味方の現在体力が毎秒 最大体力の {value_02}% 減少します。	У союзников в радиусе {value_01} от этого персонажа текущее здоровье убывает на {value_02}% от максимума в секунду.	Aliados num raio de {value_01} do personagem afetado perdem por segundo {value_02}% da vida máxima.	Sojusznicy w promieniu {value_01} od danej postaci tracą co sekundę {value_02}% maksymalnego zdrowia.
mental_error_type_desc_Madness	해당 캐릭터가 전술 지침을 거부하고 전방으로 이동해 적들을 향해 쫓아가며 공격	The target character ignores tactical orders, moves to the front, and chases and attacks enemies.	El personaje afectado ignora las órdenes tácticas, avanza al frente y persigue y ataca a los enemigos.	Le personnage concerné ignore les ordres tactiques, gagne l'avant et poursuit et attaque les ennemis.	Die betroffene Figur ignoriert taktische Befehle, zieht nach vorn und verfolgt und greift Feinde an.	該当キャラクターが戦術指針を拒否し、前方へ移動して敵を追いかけながら攻撃します。	Этот персонаж отвергает тактические приказы, выдвигается вперёд и преследует и атакует врагов.	O personagem afetado ignora as ordens táticas, avança para a frente e persegue e ataca os inimigos.	Dana postać ignoruje rozkazy taktyczne, wysuwa się na przód i ściga oraz atakuje wrogów.
mental_error_type_desc_Masochism	해당 캐릭터의 현재체력이 초당 최대체력의{value_01}% 만큼 감소	The target character's current HP decreases by {value_01}% of max HP per second.	La salud actual del personaje afectado disminuye por segundo un {value_01}% de su salud máxima.	La santé actuelle du personnage concerné diminue chaque seconde de {value_01}% de sa santé maximale.	Das aktuelle Leben der betroffenen Figur sinkt pro Sekunde um {value_01}% ihres maximalen Lebens.	該当キャラクターの現在体力が毎秒 最大体力の {value_01}% 減少します。	Текущее здоровье этого персонажа убывает на {value_01}% от максимума в секунду.	A vida atual do personagem afetado diminui por segundo {value_01}% da vida máxima.	Obecne zdrowie danej postaci spada co sekundę o {value_01}% maksymalnego zdrowia.
mental_error_type_desc_Self_harm	해당 캐릭터의 현재 체력이 최대체력의 {value_01}% 만큼 감소	The target character's current HP decreases by {value_01}% of max HP.	La salud actual del personaje afectado disminuye un {value_01}% de su salud máxima.	La santé actuelle du personnage concerné diminue de {value_01}% de sa santé maximale.	Das aktuelle Leben der betroffenen Figur sinkt um {value_01}% ihres maximalen Lebens.	該当キャラクターの現在体力が最大体力の {value_01}% 減少します。	Текущее здоровье этого персонажа уменьшается на {value_01}% от максимума.	A vida atual do personagem afetado diminui {value_01}% da vida máxima.	Obecne zdrowie danej postaci spada o {value_01}% maksymalnego zdrowia.
mental_error_type_desc_Selfishness	해당 캐릭터 치유 불가(본인의 체력 재생 제외)	The target character cannot be healed (excluding their own HP regeneration).	El personaje afectado no puede ser curado (salvo su propia regeneración de salud).	Le personnage concerné ne peut pas être soigné (sa propre régénération exceptée).	Die betroffene Figur kann nicht geheilt werden (ihre eigene Lebensregeneration ausgenommen).	該当キャラクターは治癒不可になります（本人の体力再生を除く）。	Этого персонажа нельзя исцелять (кроме его собственной регенерации здоровья).	O personagem afetado não pode ser curado (exceto a própria regeneração de vida).	Danej postaci nie można leczyć (poza jej własną regeneracją zdrowia).
mental_error_type_desc_Settle_down	해당 캐릭터의 반경{value_01}에 존재하는 아군의 침식 수치가 {value_02}만큼 하락(본인 제외)	Allies within a radius of {value_01} of the target character have their Corruption Level decrease by {value_02} (excluding self).	Los aliados en un radio de {value_01} del personaje afectado ven su nivel de Corrupción disminuir en {value_02} (excepto él mismo).	Les alliés dans un rayon de {value_01} du personnage concerné voient leur niveau de Corruption baisser de {value_02} (lui-même excepté).	Verbündete im Umkreis von {value_01} um die betroffene Figur erfahren eine Senkung der Verderbnis um {value_02} (sie selbst ausgenommen).	該当キャラクターの半径 {value_01} にいる味方の浸食値が {value_02} 下降します（本人を除く）。	У союзников в радиусе {value_01} от этого персонажа уровень Порчи снижается на {value_02} (кроме него самого).	Aliados num raio de {value_01} do personagem afetado têm o nível de Corrupção reduzido em {value_02} (exceto ele mesmo).	Sojusznicy w promieniu {value_01} od danej postaci mają poziom Skażenia niższy o {value_02} (poza nią samą).
mental_error_type_desc_Terrified	해당 캐릭터가 전투를 거부하고 성역 방향으로 회피함	The target character refuses to fight and flees toward the Sanctuary.	El personaje afectado se niega a combatir y huye en dirección al Santuario.	Le personnage concerné refuse de combattre et fuit en direction du Sanctuaire.	Die betroffene Figur weigert sich zu kämpfen und flieht in Richtung des Refugiums.	該当キャラクターが戦闘を拒否し、聖域の方向へ回避します。	Этот персонаж отказывается сражаться и бежит в сторону Святилища.	O personagem afetado se recusa a lutar e foge na direção do Santuário.	Dana postać odmawia walki i ucieka w stronę Sanktuarium.
mental_error_type_desc_Upsurge	해당 캐릭터가 {value_01} 만큼 강화됨(자원 소모는 없으니 자원 소모 값은 동일하게 상승)	The target character is strengthened by {value_01} (no resource is consumed, but the resource cost value still increases by the same amount).	El personaje afectado se fortalece en {value_01} (no se consume ningún recurso, pero el valor del coste de recursos sube igualmente en la misma medida).	Le personnage concerné est renforcé de {value_01} (aucune ressource n'est consommée, mais la valeur du coût en ressources augmente d'autant).	Die betroffene Figur wird um {value_01} verstärkt (es wird keine Ressource verbraucht, doch der Ressourcenkostenwert steigt dennoch im gleichen Maß).	該当キャラクターが {value_01} 分だけ強化されます（資源消耗はありませんが、資源消耗値は同じだけ上昇します）。	Этот персонаж усиливается на {value_01} (ресурс не расходуется, но значение стоимости ресурсов всё равно растёт на столько же).	O personagem afetado é fortalecido em {value_01} (nenhum recurso é consumido, mas o valor do custo de recursos sobe igualmente).	Dana postać zostaje wzmocniona o {value_01} (żaden zasób nie jest zużywany, ale wartość kosztu zasobów rośnie o tyle samo).
mon_name_1001	종양 거미	TumorSpider	Araña Tumoral	Araignée Tumorale	Tumorspinne	腫瘍蜘蛛	Опухолевый паук	Aranha Tumoral	Guzowaty Pająk
mon_name_1002	종양귀	Tumorling	Engendro Tumoral	Rejeton Tumoral	Tumorbrut	腫瘍鬼	Опухолевый бес	Cria Tumoral	Guzowaty Pomiot
mon_name_1003	종양 두더지	TumorMole	Topo Tumoral	Taupe Tumorale	Tumormaulwurf	腫瘍モグラ	Опухолевый крот	Toupeira Tumoral	Guzowaty Kret
skill_name_2001	할퀴기	Claw Slash	Zarpazo	Coup de Griffe	Klauenhieb	引っ掻き	Удар когтями	Golpe de Garra	Cios Pazurem
skill_name_2002	죽음의 포효	Death Roar	Rugido de Muerte	Rugissement de Mort	Todesgebrüll	死の咆哮	Рёв смерти	Rugido da Morte	Ryk Śmierci
monster_name_100001	지옥 송곳니	HellFang	Colmillo Infernal	Croc Infernal	Höllenzahn	地獄の牙	Адский клык	Presa Infernal	Piekielny Kieł
monster_name_100002	영혼 사수	SoulArcher	Arquero de Almas	Archer des Âmes	Seelenschütze	魂の射手	Лучник душ	Arqueiro de Almas	Łucznik Dusz
monster_name_120001	단탈리온	Dantalian	Dantalian	Dantalian	Dantalian	ダンタリオン	Данталион	Dantalian	Dantalian
skill_explain_130001	단탈리온이 적들을 타락의 무덤으로 인도합니다	Dantalian leads his enemies to a grave of corruption	Dantalian conduce a sus enemigos a una tumba de corrupción	Dantalian mène ses ennemis vers une tombe de corruption	Dantalian führt seine Feinde in ein Grab der Verderbnis	ダンタリオンが敵を堕落の墓へと導きます	Данталион ведёт врагов в могилу порчи	Dantalian conduz seus inimigos a um túmulo de corrupção	Dantalian prowadzi wrogów do grobu skażenia
skill_explain_130002	단탈리온이 발하는 빛은 적을 파멸로 이끕니다	The light Dantalian emits leads enemies to ruin	La luz que emite Dantalian lleva a los enemigos a la ruina	La lumière qu'émet Dantalian mène les ennemis à la ruine	Das Licht, das Dantalian aussendet, führt Feinde ins Verderben	ダンタリオンが放つ光は敵を破滅へと導きます	Свет, что излучает Данталион, ведёт врагов к гибели	A luz que Dantalian emite leva os inimigos à ruína	Światło, które emanuje Dantalian, wiedzie wrogów ku zgubie
skill_explain_80001	엘린은 보이지 않는 적이라 할지라도 타고난 섬세함으로 감지할 수 있습니다.	Even an unseen enemy, Elin can sense with her innate sensitivity.	Incluso a un enemigo invisible, Elin puede percibirlo con su delicadeza innata.	Même un ennemi invisible, Elin peut le percevoir grâce à sa finesse innée.	Selbst einen unsichtbaren Feind kann Elin mit ihrem angeborenen Feingefühl spüren.	見えない敵であろうと、エリンは生まれ持った繊細さで感じ取ることができます。	Даже незримого врага Элин чувствует своей врождённой чуткостью.	Mesmo um inimigo invisível, Elin consegue sentir com sua delicadeza inata.	Nawet niewidzialnego wroga Elin wyczuje dzięki wrodzonej wrażliwości.
skill_explain_80002	엘린은 사랑하는 이들을 위해 자기 자신마저 버릴 수 있습니다.	For those she loves, Elin can even cast aside herself.	Por quienes ama, Elin es capaz de renunciar incluso a sí misma.	Pour ceux qu'elle aime, Elin peut même se sacrifier elle-même.	Für jene, die sie liebt, kann Elin sogar sich selbst aufgeben.	愛する者たちのためなら、エリンは自分自身さえ捨てられます。	Ради тех, кого любит, Элин способна отречься даже от себя.	Por aqueles que ama, Elin é capaz de abrir mão até de si mesma.	Dla tych, których kocha, Elin potrafi poświęcić nawet siebie.
skill_explain_80003	상처는 엘린을 더욱 강하게 만들었습니다.	Her wounds have only made Elin stronger.	Sus heridas solo han hecho a Elin más fuerte.	Ses blessures n'ont fait que rendre Elin plus forte.	Ihre Wunden haben Elin nur stärker gemacht.	傷はエリンをさらに強くしました。	Раны лишь сделали Элин сильнее.	Suas feridas só tornaram Elin mais forte.	Rany uczyniły Elin jeszcze silniejszą.
skill_explain_80004	비기오르는 강철과 같은 의지로 전방에 나섭니다.	Bigior steps to the front lines with a will of steel.	Bigior se adelanta al frente con una voluntad de acero.	Bigior s'avance en première ligne avec une volonté d'acier.	Bigior tritt mit stählernem Willen an die vorderste Front.	ビギオルは鋼のような意志で前線に立ちます。	Бигиор выходит на передовую с волей из стали.	Bigior avança para a linha de frente com uma vontade de aço.	Bigior staje na pierwszej linii z wolą ze stali.
skill_explain_80005	비기오르의 의지가 불타오릅니다.	Bigior's will burns bright.	La voluntad de Bigior arde con fuerza.	La volonté de Bigior s'embrase.	Bigiors Wille lodert auf.	ビギオルの意志が燃え上がります。	Воля Бигиора пылает.	A vontade de Bigior arde intensamente.	Wola Bigiora płonie jasno.
skill_explain_80006	동료들에게 그는 전설이자 진정 신뢰할 수 있는 버팀목입니다.	To his comrades, he is a legend and a truly trustworthy pillar of support.	Para sus compañeros es una leyenda y un sostén verdaderamente digno de confianza.	Pour ses camarades, il est une légende et un appui vraiment digne de confiance.	Für seine Kameraden ist er eine Legende und eine wahrhaft verlässliche Stütze.	仲間たちにとって彼は伝説であり、心から信頼できる支えです。	Для товарищей он легенда и по-настоящему надёжная опора.	Para seus companheiros, ele é uma lenda e um pilar realmente confiável.	Dla towarzyszy jest legendą i naprawdę godnym zaufania oparciem.
skill_explain_80007	프레이야는 분노와 함께 적들을 집어 삼킵니다.	Preyja devours her enemies along with her rage.	Preyja devora a sus enemigos junto con su furia.	Preyja dévore ses ennemis avec sa rage.	Preyja verschlingt ihre Feinde samt ihrem Zorn.	プレイヤは怒りと共に敵を飲み込みます。	Прейя пожирает врагов вместе со своей яростью.	Preyja devora seus inimigos junto com sua fúria.	Preyja pożera wrogów wraz ze swoim gniewem.
skill_explain_80008	그녀는 전투 중 종종 황홀경에 빠지곤 합니다.	In battle, she often falls into ecstasy.	En combate, a menudo cae en el éxtasis.	Au combat, elle sombre souvent dans l'extase.	Im Kampf verfällt sie oft in Ekstase.	戦闘中、彼女はしばしば恍惚に陥ります。	В бою она нередко впадает в экстаз.	Em combate, ela frequentemente entra em êxtase.	W walce często wpada w ekstazę.
skill_explain_80009	광란에 빠진 프레이야는 동료조차 막을 수 없는 힘을 발합니다.	Lost in frenzy, Preyja unleashes a power not even her allies can stop.	Perdida en el frenesí, Preyja desata un poder que ni sus aliados pueden detener.	Emportée par la frénésie, Preyja déchaîne une puissance que même ses alliés ne peuvent arrêter.	Im Wahn entfesselt Preyja eine Macht, die nicht einmal ihre Verbündeten aufhalten können.	狂乱に陥ったプレイヤは、仲間ですら止められない力を放ちます。	В безумии Прейя высвобождает силу, которую не остановить даже союзникам.	Perdida no frenesi, Preyja libera um poder que nem seus aliados podem deter.	Pogrążona w szale Preyja uwalnia moc, której nie powstrzymają nawet sojusznicy.
skill_name_130001	타락한 무덤	Corrupted Grave	Tumba Corrompida	Tombe Corrompue	Verderbtes Grab	堕落した墓	Осквернённая могила	Túmulo Corrompido	Skażony Grób
skill_name_130002	공허의 광선	Beam of the Void	Rayo del Vacío	Rayon du Vide	Strahl der Leere	虚空の光線	Луч пустоты	Raio do Vazio	Promień Pustki
skill_name_80001	타고난 섬세함	Innate Sensitivity	Delicadeza Innata	Finesse Innée	Angeborenes Feingefühl	生まれ持った繊細さ	Врождённая чуткость	Delicadeza Inata	Wrodzona Wrażliwość
skill_name_80002	희생	Sacrifice	Sacrificio	Sacrifice	Opfer	犠牲	Жертва	Sacrifício	Poświęcenie
skill_name_80003	유혈 낭자	Bloodbath	Baño de Sangre	Bain de Sang	Blutbad	流血	Кровавая баня	Banho de Sangue	Krwawa Łaźnia
skill_name_80004	강철의 의지	Will of Steel	Voluntad de Acero	Volonté d'Acier	Stählerner Wille	鋼の意志	Стальная воля	Vontade de Aço	Wola ze Stali
skill_name_80005	타오르는 날개	Burning Wings	Alas Ardientes	Ailes Ardentes	Brennende Schwingen	燃える翼	Пылающие крылья	Asas Ardentes	Płonące Skrzydła
skill_name_80006	로 아이아스	Ro Aias	Ro Aias	Rho Aias	Rho Aias	ロ・アイアス	Ро Айас	Ro Aias	Ro Aias
skill_name_80007	포식	Devour	Devorar	Dévoration	Verschlingen	捕食	Пожирание	Devorar	Pożarcie
skill_name_80008	희열	Ecstasy	Éxtasis	Extase	Ekstase	歓喜	Экстаз	Êxtase	Ekstaza
skill_name_80009	광란	Frenzy	Frenesí	Frénésie	Raserei	狂乱	Безумие	Frenesi	Szał
skill_type_desc_Blazing_wings	비기오르의 반경 {value_01} 내에 있는 적들은 초당 비기오르의 현재체력{value_02}% 만큼 데미지를 받는다. 데미지 계산 공식 적용	Enemies within a radius of {value_01} of Bigior take damage equal to {value_02}% of Bigior's current HP per second. Damage calculation formula applies.	Los enemigos en un radio de {value_01} alrededor de Bigior reciben por segundo un daño igual al {value_02}% de la salud actual de Bigior. Se aplica la fórmula de cálculo de daño.	Les ennemis dans un rayon de {value_01} autour de Bigior subissent chaque seconde des dégâts égaux à {value_02}% de la santé actuelle de Bigior. La formule de calcul des dégâts s'applique.	Feinde im Umkreis von {value_01} um Bigior erleiden pro Sekunde Schaden in Höhe von {value_02}% von Bigiors aktuellem Leben. Die Schadensformel wird angewendet.	ビギオルの半径 {value_01} 内にいる敵は、毎秒ビギオルの現在体力の {value_02}% のダメージを受けます。ダメージ計算式が適用されます。	Враги в радиусе {value_01} вокруг Бигиора ежесекундно получают урон, равный {value_02}% его текущего здоровья. Применяется формула расчёта урона.	Inimigos num raio de {value_01} ao redor de Bigior sofrem por segundo dano igual a {value_02}% da vida atual de Bigior. A fórmula de cálculo de dano se aplica.	Wrogowie w promieniu {value_01} wokół Bigiora otrzymują co sekundę obrażenia równe {value_02}% obecnego zdrowia Bigiora. Stosuje się wzór na obrażenia.
skill_type_desc_Blood_attack	엘린은 공격을 할때마다 현제 체력의 {value_01}% 만큼 체력이 감소하고 해당 값만큼 데미지 공식의 공격력 부분에 더해서 계산한다.	Each time Elin attacks, her current HP decreases by {value_01}%, and that amount is added to the attack power portion of the damage formula.	Cada vez que Elin ataca, su salud actual disminuye un {value_01}%, y esa cantidad se suma a la parte de poder de ataque de la fórmula de daño.	Chaque fois qu'Elin attaque, sa santé actuelle diminue de {value_01}%, et ce montant s'ajoute à la partie « puissance d'attaque » de la formule de dégâts.	Jedes Mal, wenn Elin angreift, sinkt ihr aktuelles Leben um {value_01}%, und dieser Betrag wird dem Angriffskraft-Teil der Schadensformel hinzugefügt.	エリンは攻撃するたびに現在体力が {value_01}% 減少し、その値がダメージ式の攻撃力部分に加算されます。	Каждый раз при атаке текущее здоровье Элин уменьшается на {value_01}%, и эта величина добавляется к части «сила атаки» в формуле урона.	Cada vez que Elin ataca, sua vida atual diminui {value_01}%, e esse valor é somado à parte de poder de ataque da fórmula de dano.	Za każdym atakiem obecne zdrowie Elin spada o {value_01}%, a ta wartość zostaje dodana do części „siła ataku” we wzorze na obrażenia.
skill_type_desc_Ecstasy	프레이야의 2초내에 직접 공격한 적이 사망할때 마다 프레이야의 공격속도와 이동속도가 {value_02}초 동안 {value_03}만큼 증가한다. 중첩가능하며 중첩될 때마다 지속시간이 0초로 초기화 된다. 이 값으로 상승한 공격속도 및 이동속도는 최대값을 초과할 수 있다.	Each time an enemy directly attacked by Preyja within the last 2 seconds dies, Preyja's attack speed and movement speed increase by {value_03} for {value_02} seconds. This effect can stack, and the duration resets to 0 seconds each time it stacks. The attack speed and movement speed gained from this effect can exceed the maximum value.	Cada vez que muere un enemigo atacado directamente por Preyja en los últimos 2 segundos, la velocidad de ataque y de movimiento de Preyja aumentan en {value_03} durante {value_02} segundos. El efecto se acumula, y la duración se reinicia a 0 segundos con cada acumulación. La velocidad de ataque y de movimiento obtenidas por este efecto pueden superar el valor máximo.	Chaque fois qu'un ennemi attaqué directement par Preyja dans les 2 dernières secondes meurt, la vitesse d'attaque et de déplacement de Preyja augmente de {value_03} pendant {value_02} secondes. L'effet est cumulable et la durée se réinitialise à 0 seconde à chaque cumul. Les vitesses obtenues par cet effet peuvent dépasser la valeur maximale.	Jedes Mal, wenn ein Feind stirbt, den Preyja in den letzten 2 Sekunden direkt angegriffen hat, steigen ihr Angriffs- und Bewegungstempo für {value_02} Sekunden um {value_03}. Der Effekt ist stapelbar, und die Dauer wird bei jedem Stapeln auf 0 Sekunden zurückgesetzt. Die so gewonnenen Tempowerte können das Maximum überschreiten.	プレイヤが2秒以内に直接攻撃した敵が死亡するたびに、プレイヤの攻撃速度と移動速度が {value_02} 秒間 {value_03} 増加します。重複可能で、重複するたびに持続時間が0秒に初期化されます。この効果で上昇した攻撃速度と移動速度は最大値を超えることができます。	Каждый раз, когда погибает враг, атакованный Прейей напрямую за последние 2 секунды, её скорость атаки и передвижения возрастает на {value_03} на {value_02} секунд. Эффект складывается, и при каждом наложении длительность сбрасывается до 0 секунд. Полученные так значения могут превышать максимум.	Cada vez que morre um inimigo atacado diretamente por Preyja nos últimos 2 segundos, a velocidade de ataque e de movimento de Preyja aumenta em {value_03} por {value_02} segundos. O efeito acumula, e a duração é reiniciada para 0 segundos a cada acúmulo. As velocidades obtidas por este efeito podem exceder o valor máximo.	Za każdym razem, gdy ginie wróg zaatakowany bezpośrednio przez Preyję w ciągu ostatnich 2 sekund, jej szybkość ataku i ruchu rośnie o {value_03} na {value_02} sekund. Efekt się kumuluje, a czas trwania resetuje się do 0 sekund przy każdej kumulacji. Uzyskane w ten sposób szybkości mogą przekroczyć wartość maksymalną.
skill_type_desc_Scratch	가장 가까운 적을 향해 카르시노스의 전방 {value_01}(가로) x {value_02}(세로) 범위의 적을 카르시노스의 근거리 공격력{value_03}%로 공격한다. 맞은 적은 방어력이{value_04}% 만큼 감소하며 지속시간은 {value_05}초 만큼 지속된다.	Targeting the nearest enemy, attacks enemies in a {value_01}(width) x {value_02}(height) area in front of Carcinos for {value_03}% of Carcinos's melee attack power. Hit enemies have their defense reduced by {value_04}% for {value_05} seconds.	Apuntando al enemigo más cercano, ataca a los enemigos en un área de {value_01}(ancho) x {value_02}(alto) frente a Carcinos con el {value_03}% de su poder de ataque cuerpo a cuerpo. Los enemigos alcanzados ven su defensa reducida un {value_04}% durante {value_05} segundos.	Visant l'ennemi le plus proche, frappe les ennemis dans une zone de {value_01}(largeur) x {value_02}(hauteur) devant Carcinos pour {value_03}% de sa puissance d'attaque de mêlée. Les ennemis touchés voient leur défense réduite de {value_04}% pendant {value_05} secondes.	Zielt auf den nächsten Feind und greift Feinde in einem Bereich von {value_01}(Breite) x {value_02}(Höhe) vor Carcinos mit {value_03}% seiner Nahkampfangriffskraft an. Getroffene Feinde erleiden {value_05} Sekunden lang {value_04}% weniger Verteidigung.	最も近い敵に向かって、カルキノスの前方 {value_01}（横）x {value_02}（縦）範囲の敵をカルキノスの近接攻撃力 {value_03}% で攻撃します。命中した敵は防御力が {value_04}% 減少し、{value_05} 秒間持続します。	Нацеливаясь на ближайшего врага, атакует врагов в области {value_01}(ширина) x {value_02}(высота) перед Каркиносом с силой {value_03}% его ближней атаки. У задетых врагов защита снижается на {value_04}% на {value_05} секунд.	Mirando o inimigo mais próximo, ataca inimigos numa área de {value_01}(largura) x {value_02}(altura) à frente de Carcinos com {value_03}% do seu poder de ataque corpo a corpo. Inimigos atingidos têm a defesa reduzida em {value_04}% por {value_05} segundos.	Celując w najbliższego wroga, atakuje wrogów w obszarze {value_01}(szerokość) x {value_02}(wysokość) przed Carcinosem za {value_03}% jego ataku wręcz. Trafieni wrogowie mają obronę obniżoną o {value_04}% przez {value_05} sekund.
